,precision,recall,f1-score,support
0,0.6534090909090909,0.7055214723926381,0.6784660766961652,163.0
1,0.8409090909090909,0.7896341463414634,0.8144654088050315,328.0
2,0.8593272171253823,0.7849162011173184,0.8204379562043795,358.0
3,0.9527833001988072,0.9711246200607903,0.9618665328650275,1974.0
4,0.7493540051679587,0.7493540051679587,0.7493540051679587,387.0
accuracy,0.891588785046729,0.891588785046729,0.891588785046729,0.891588785046729
macro avg,0.811156540862066,0.8001100890160338,0.8049179959477124,3210.0
weighted avg,0.891201633009251,0.891588785046729,0.8910205447932266,3210.0
