epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1,lr
1,1.1052594809991778,0.6531588497278276,0.3398778654944031,0.8589300616136593,0.7753894080996885,0.5649775306193205,0.5925030148800763,4.9692208514878444e-05
2,0.9391520636794972,0.7342057513608622,0.5338640852632203,0.7685731064493411,0.8174454828660436,0.6526966211824602,0.6753099848773866,4.877641290737884e-05
3,0.8945668695154818,0.7565843734535658,0.5824140205603463,0.7361020916718931,0.8333333333333334,0.6890448118105466,0.7025455274930997,4.72751631047092e-05
4,0.8575069387428257,0.7786880738989388,0.62430873061189,0.716614786338212,0.8454828660436137,0.7151072465735661,0.7271056949855026,4.522542485937369e-05
5,0.854568668908098,0.7729697036344642,0.6194333947085651,0.7059720014857355,0.8482866043613707,0.7206504538103566,0.7295678575272275,4.267766952966369e-05
6,0.838939332405547,0.7850112717875406,0.6387703054025688,0.6998195970169852,0.8545171339563863,0.7312708048247131,0.7432587635693754,3.969463130731183e-05
7,0.8129512478947777,0.7999670094023204,0.6614903195059407,0.6918615774573567,0.8573208722741433,0.7326606701539655,0.7452076747503018,3.634976249348867e-05
8,0.8181799535027185,0.7941386704789135,0.6549606179514198,0.6882410854008338,0.8607476635514019,0.7302212433427675,0.747890467390653,3.272542485937369e-05
9,0.7965708083590464,0.8119535932259306,0.6828136837362851,0.6860730896114932,0.864797507788162,0.7418647092821476,0.757887746761214,2.891086162600578e-05
10,0.8056732457479977,0.7950734040798373,0.6633790427828119,0.6887868613840263,0.864797507788162,0.7605530060121641,0.7639225803804666,2.5000000000000005e-05
11,0.7912351531213431,0.8066201132677187,0.6797856714347941,0.6786069796835522,0.8644859813084113,0.7465499090675702,0.7583402163108772,2.108913837399424e-05
12,0.7978166586138702,0.8088194864463628,0.6818809215389852,0.681135162033396,0.8626168224299066,0.7376058797433208,0.7532052835150005,1.727457514062632e-05
13,0.791100465072193,0.8073898938802442,0.6769990198649205,0.6773907616873768,0.8629283489096573,0.7461009266949865,0.756920105954814,1.3650237506511335e-05
14,0.7735276787796362,0.8173970418430747,0.6988541685243257,0.6778570679860695,0.8623052959501558,0.7407298793272028,0.7531169756199094,1.0305368692688178e-05
15,0.7853867382150345,0.8095892670588882,0.683330410640574,0.6770038986874518,0.864797507788162,0.7430991841659524,0.7548837083872767,7.322330470336315e-06
16,0.7893387494213331,0.8084895804695662,0.6813998598049916,0.6792084120144354,0.8629283489096573,0.7479506352665171,0.756325979171439,4.774575140626317e-06
17,0.7838894282505814,0.8093143454115577,0.6869757868496114,0.6747133341905113,0.8657320872274143,0.7454056425762504,0.7588554132497041,2.7248368952908057e-06
18,0.773737738011478,0.8169021828778799,0.6966998413270568,0.6762219903253692,0.864797507788162,0.7411507320887879,0.7548373751459259,1.2235870926211619e-06
19,0.7890144573388278,0.8054654423489306,0.6815993863504155,0.6748499642280031,0.8641744548286604,0.7427359318127182,0.7549896824426843,3.0779148512155856e-07
20,0.7760998208782229,0.8136031231099137,0.6910193042364482,0.6757238453979433,0.8623052959501558,0.7344473237377889,0.7497040770276024,0.0
