epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1,lr
1,0.8428327984759274,0.7783031835926761,0.6138812689147262,0.7622538973237867,0.8246105919003115,0.7115160909359179,0.7060973444466158,9.972609476841367e-05
2,0.7449850632240231,0.8294935943256172,0.6981166707911913,0.7346881351366964,0.8355140186915888,0.6980202672278348,0.7104471247224943,9.890738003669029e-05
3,0.7189649059740112,0.8417550997965579,0.721473930462845,0.7123190700079421,0.8523364485981308,0.7362386691771526,0.7407910023915202,9.755282581475769e-05
4,0.6957097659537337,0.8540166052674988,0.7439374149658606,0.7138140840322429,0.8498442367601247,0.7179866639970338,0.7333376668833422,9.567727288213003e-05
5,0.6850906593282954,0.858470335954253,0.7527883497273022,0.7112741931947963,0.8526479750778816,0.7467273148936489,0.7447135198340857,9.330127018922194e-05
6,0.6699308573023118,0.8678726562929565,0.7677687195490286,0.7015022973219553,0.8535825545171339,0.7391955615694336,0.7493809408636953,9.045084971874738e-05
7,0.6552422158221398,0.8729312146038379,0.7763164457275152,0.7018294278706345,0.854828660436137,0.7447302379411259,0.7454084776204024,8.715724127386972e-05
8,0.6444253072846405,0.877329960961126,0.7835512146028965,0.7125029862298401,0.859190031152648,0.7469337629806503,0.7586931527237782,8.345653031794292e-05
9,0.6259866014271261,0.887502061912355,0.8024281328685486,0.7034343666005357,0.859190031152648,0.7241065161867123,0.749068719232114,7.938926261462366e-05
10,0.6173537467143085,0.8924506515643041,0.8113595137298706,0.7044598616914957,0.8579439252336448,0.7443342173095561,0.752351693845495,7.500000000000001e-05
11,0.6068781606175832,0.8973442568867873,0.8231315875859968,0.7043680371525132,0.8576323987538941,0.7378888653360051,0.7520297906827551,7.033683215379003e-05
12,0.5962409286742332,0.9022378622092704,0.8307733858387059,0.7003405519735033,0.8651090342679127,0.7466132169046605,0.7621403743565607,6.545084971874738e-05
13,0.5806360710982723,0.9118051355363721,0.8461335498399727,0.7198154660028832,0.8535825545171339,0.739764986986744,0.7413296207297868,6.039558454088797e-05
14,0.5699413359745278,0.9158739759168637,0.854567686849369,0.7018398738538736,0.8629283489096573,0.7411542174463485,0.7566707780371014,5.522642316338269e-05
15,0.5537624505479648,0.9239566723483807,0.8702565656243546,0.717445311813711,0.8542056074766355,0.7300015205377444,0.7422967509474864,5.000000000000002e-05
16,0.5404291011898187,0.9311596195084401,0.8815539413451511,0.7195900858934052,0.8582554517133957,0.7529596854309726,0.7530233095987028,4.4773576836617344e-05
17,0.5287291638013614,0.9391873316104911,0.8946689927511902,0.731809252277713,0.8529595015576324,0.7403071530248442,0.7423667474311062,3.9604415459112035e-05
18,0.5141529698739472,0.9446857645571012,0.9050750984206243,0.721978329795172,0.8576323987538941,0.7270303589718858,0.745635863766924,3.4549150281252636e-05
19,0.5069188757556788,0.9473250123714742,0.9100057755305746,0.7213883909852334,0.8607476635514019,0.7595829811983714,0.7595199460441052,2.966316784621e-05
20,0.49373949583481164,0.9546379281904657,0.9250883069430316,0.7171499481453703,0.8588785046728972,0.7468445374964616,0.7534110479913178,2.5000000000000015e-05
21,0.4846203354577362,0.9578270192994996,0.9306206812598254,0.7355743350826691,0.8585669781931464,0.7476127896055936,0.7515520125797683,2.0610737385376352e-05
22,0.47977691725106997,0.9614010007147963,0.9348638814602672,0.7307227018280564,0.8557632398753894,0.7349178858114602,0.7458287294370113,1.654346968205711e-05
23,0.4734859110996133,0.9647550448122285,0.9410440292009092,0.7368731112680702,0.8542056074766355,0.7303230199445598,0.7408860360371439,1.2842758726130304e-05
24,0.46762296535796133,0.9681090889096607,0.9484109030651204,0.7336286041966851,0.856386292834891,0.7247953267595081,0.7398278801884072,9.549150281252636e-06
25,0.4606679765008914,0.9708583053829658,0.9517899614011128,0.7341371069444674,0.8573208722741433,0.7325328121638146,0.7419980369693316,6.698729810778068e-06
26,0.4593617896869301,0.9715181173365591,0.9530357568744886,0.7350794497494385,0.8529595015576324,0.7261051989618732,0.7362169029838762,4.322727117869953e-06
27,0.4536056294549768,0.9740473964919998,0.9579220628106512,0.7332946175541091,0.8545171339563863,0.7260391373263548,0.7386398867246724,2.447174185242324e-06
28,0.4527798255365468,0.9761368010117116,0.9616113512752975,0.7322754362290522,0.8566978193146417,0.7262172772709673,0.7408555130258823,1.092619963309716e-06
29,0.45095920902930103,0.9758618793643812,0.9598687225776457,0.7336328496442777,0.856386292834891,0.7300005753194302,0.741487902443015,2.7390523158633003e-07
30,0.45057785916093773,0.9772364876010337,0.9643365242822715,0.7347752393220444,0.8585669781931464,0.7335345183468073,0.7454255244854198,0.0
