epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1,lr
1,0.9612147635163473,0.7213394182657943,0.5219394284072518,0.7558555908106569,0.8271028037383178,0.6663146870899339,0.696536655364549,4.9692208514878444e-05
2,0.8723251032725722,0.765326881838676,0.6088165962551205,0.721810516204418,0.8545171339563863,0.7246416119909631,0.740022188655963,4.877641290737884e-05
3,0.8537358684917866,0.7747841865068456,0.6224707882838711,0.7183430627499042,0.8526479750778816,0.7441291614913876,0.7429269682385905,4.72751631047092e-05
4,0.8291755355380436,0.7939187331610491,0.6558395978284973,0.7071314578858492,0.8566978193146417,0.7353998716172138,0.7480504722044532,4.522542485937369e-05
5,0.8301587130688203,0.7872656292956507,0.6454081909780193,0.7157931210838746,0.8514018691588785,0.7490510821738283,0.7414811093413386,4.267766952966369e-05
6,0.8163778507579066,0.7998570407433881,0.6689445783245545,0.6923497277999593,0.863239875389408,0.7336753137323972,0.753564253432284,3.969463130731183e-05
7,0.793127688720135,0.8057953483257272,0.680227417268547,0.6864827098876145,0.861993769470405,0.7408586455747856,0.7563945166158088,3.634976249348867e-05
8,0.7944072114501679,0.806290207290922,0.6820667462551333,0.6884856743604595,0.8654205607476636,0.7559853895225721,0.7654951516562688,3.272542485937369e-05
9,0.7693882206729451,0.8225105844834222,0.7072251185293418,0.6919980717596607,0.8660436137071651,0.7399675255627275,0.7552725357895523,2.891086162600578e-05
10,0.7734451775514923,0.8116786715786001,0.6921528866179445,0.6802627836618097,0.8641744548286604,0.752547329822712,0.7625138367894699,2.5000000000000005e-05
11,0.7599573160152526,0.8212459449057019,0.7110814890079826,0.6750289990151782,0.8679127725856698,0.7620409684780711,0.7691180712323964,2.108913837399424e-05
12,0.7577879316975772,0.8359817452026173,0.7321649725279247,0.6818036113572641,0.8663551401869158,0.754732675133396,0.7618909661971967,1.727457514062632e-05
13,0.7462059407090776,0.8299884532908122,0.7262142184275591,0.6832477293096227,0.8644859813084113,0.7281038196179284,0.7470068628306457,1.3650237506511335e-05
14,0.7287185261554595,0.8401605542420411,0.7423903629172023,0.6746446628436864,0.8697819314641745,0.7473155546128506,0.7642847356521549,1.0305368692688178e-05
15,0.731549611065133,0.8386759773464563,0.741542077022723,0.6720730937529947,0.8672897196261682,0.7564363210975541,0.7657567820719152,7.322330470336315e-06
16,0.7353920989595146,0.8379611810633969,0.739448566769003,0.6748268642158152,0.8728971962616823,0.770409267593263,0.7732522768338701,4.774575140626317e-06
17,0.726334931989785,0.8349920272722274,0.7398971095558234,0.6749682403613474,0.8688473520249221,0.755323182836735,0.7657286657113253,2.7248368952908057e-06
18,0.7130819777760176,0.8432396766921427,0.7501983061568285,0.6716660268395861,0.8722741433021807,0.7612188324322381,0.7721245444096596,1.2235870926211619e-06
19,0.7215196730548215,0.8382910870401935,0.7456625314039385,0.6713190540346401,0.8710280373831776,0.7589515657359256,0.7692186659871099,3.0779148512155856e-07
20,0.7133469088072171,0.8468686424369055,0.7580620378637603,0.673857974894693,0.8710280373831776,0.7568091097159877,0.7691165164318223,0.0
