epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,0.7858402053021333,71.19920822565568,0.6066895504606847,77.44548286604362,9.972609476841368e-06,9.972609476841367e-05
2,0.5961953281877773,78.70456919777864,0.5279433418471494,80.46728971962617,9.890738003669029e-06,9.890738003669029e-05
3,0.5271944992042279,81.15687029196678,0.5080060530488736,81.46417445482867,9.755282581475769e-06,9.755282581475769e-05
4,0.4860621730307392,82.81189860889647,0.48758901459777093,82.6791277258567,9.567727288213003e-06,9.567727288213003e-05
5,0.45336179160531676,83.57618078847528,0.475839955301671,82.89719626168224,9.330127018922194e-06,9.330127018922194e-05
6,0.42060726847434676,85.16522791004564,0.468379592073855,83.76947040498442,9.045084971874737e-06,9.045084971874738e-05
7,0.39638753659015846,85.83053829658547,0.4565170444664183,84.17445482866043,8.71572412738697e-06,8.715724127386972e-05
8,0.379625167121474,86.33639412767361,0.4581447157115208,84.3613707165109,8.34565303179429e-06,8.345653031794292e-05
9,0.3604753666695685,87.21614339913124,0.463502190863232,83.3644859813084,7.938926261462365e-06,7.938926261462366e-05
10,0.3425350515040281,87.74949139495244,0.467080096023105,83.95638629283489,7.499999999999999e-06,7.500000000000001e-05
11,0.32049999590945716,88.67872656292957,0.46753169871936334,83.98753894080997,7.033683215379001e-06,7.033683215379003e-05
12,0.3032945574961212,89.20107769285754,0.47449444477153346,84.20560747663552,6.545084971874737e-06,6.545084971874738e-05
13,0.2940459395360152,89.53648210260076,0.4814067218673192,83.48909657320873,6.039558454088796e-06,6.039558454088797e-05
14,0.28065432695058545,90.10831912904823,0.47348450220819577,84.67289719626169,5.522642316338268e-06,5.522642316338269e-05
15,0.26226784632100697,90.62517182602959,0.4826049003924165,84.51713395638629,5.000000000000001e-06,5.000000000000002e-05
16,0.25105621664118477,90.89459504041348,0.49468114750918196,83.89408099688474,4.477357683661733e-06,4.4773576836617344e-05
17,0.24288183598669916,91.37845713971518,0.4903553935690461,84.2367601246106,3.960441545911202e-06,3.9604415459112035e-05
18,0.23256889396118358,91.70286468356518,0.499871374281396,84.39252336448598,3.4549150281252627e-06,3.4549150281252636e-05
19,0.22345791451660424,92.01077692857535,0.5052038173623545,84.01869158878505,2.9663167846209994e-06,2.966316784621e-05
20,0.21513404223668298,92.40116566778468,0.509371884631405,84.01869158878505,2.5000000000000006e-06,2.5000000000000015e-05
21,0.2153086364039844,92.28020014295926,0.5120155348863186,83.95638629283489,2.0610737385376345e-06,2.0610737385376352e-05
22,0.21051298167822602,92.77505910815418,0.5080657702600845,84.01869158878505,1.6543469682057103e-06,1.654346968205711e-05
23,0.19831060201737502,93.01149172485842,0.5121386294006559,84.17445482866043,1.2842758726130298e-06,1.2842758726130304e-05
24,0.19792234787413593,93.03898388959146,0.5173640020725512,83.89408099688474,9.549150281252633e-07,9.549150281252636e-06
25,0.19833574198625148,93.12146038379062,0.5178206233870575,83.95638629283489,6.698729810778065e-07,6.698729810778068e-06
26,0.19631652599718322,93.1104635178974,0.5277343630024763,83.64485981308411,4.322727117869951e-07,4.322727117869953e-06
27,0.19114946425223275,93.26441964040248,0.5186991433766772,83.92523364485982,2.4471741852423233e-07,2.447174185242324e-06
28,0.19217345889184778,93.44586792764062,0.5210393205888546,84.45482866043614,1.0926199633097156e-07,1.092619963309716e-06
29,0.19447554373037182,93.13245724968384,0.51868689183227,84.2367601246106,2.7390523158632996e-08,2.7390523158633003e-07
30,0.19267451747421932,93.39088359817453,0.5302043041196939,83.5202492211838,0.0,0.0
