,precision,recall,f1-score,support
0,0.6956521739130435,0.7852760736196319,0.7377521613832853,163.0
1,0.8774834437086093,0.8079268292682927,0.8412698412698413,328.0
2,0.8271954674220963,0.8156424581005587,0.8213783403656821,358.0
3,0.9596774193548387,0.9645390070921985,0.9621020717534108,1974.0
4,0.7777777777777778,0.7777777777777778,0.7777777777777778,387.0
accuracy,0.9003115264797508,0.9003115264797508,0.9003115264797508,0.9003115264797508
macro avg,0.827557256435273,0.8302324291716919,0.8280560385099994,3210.0
weighted avg,0.9011666906628698,0.9003115264797508,0.9004464316928756,3210.0
