epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1,lr
1,1.0545362268855207,0.6787265629295651,0.4034010092954028,0.7520958031449363,0.8249221183800624,0.6693817434947869,0.6872098570765752,4.9692208514878444e-05
2,0.9143843981171871,0.7480618023863199,0.5666525949121965,0.697681563609857,0.8579439252336448,0.7340735618772993,0.7462681688384176,4.877641290737884e-05
3,0.8850999811925693,0.7652169131797437,0.598967676789753,0.6827358925825339,0.8638629283489097,0.7489670189812344,0.7577244427336493,4.72751631047092e-05
4,0.8609442241793449,0.7706053774674217,0.6139473633796083,0.6736366542700295,0.8685358255451714,0.7603577818013971,0.7648341833771,4.522542485937369e-05
5,0.8453026337064354,0.7834167262330236,0.6313922741033265,0.6656511154501609,0.8682242990654205,0.7635181897529109,0.764712508853447,4.267766952966369e-05
6,0.8400844346633377,0.785781052400066,0.6402695118168521,0.6667419718619076,0.8679127725856698,0.7557621579655893,0.7631447215317131,3.969463130731183e-05
7,0.8267746738376262,0.7903447517457525,0.6445216979220093,0.6613564490157867,0.8663551401869158,0.7543404623946293,0.7618246628462121,3.634976249348867e-05
8,0.8200484272861727,0.797107824270083,0.658932092814281,0.6547756297566066,0.8725856697819314,0.7579625390860558,0.7710019679385589,3.272542485937369e-05
9,0.8028962555847717,0.8001869467201848,0.6674985114357125,0.6629065009849465,0.870404984423676,0.7713396403915415,0.7703830968622516,2.891086162600578e-05
10,0.8027578265748108,0.8026612415461594,0.6706606240411916,0.6560650942481567,0.873208722741433,0.7731291459032584,0.7735396417051446,2.5000000000000005e-05
11,0.7937571234600025,0.8140429977456425,0.6920755057073087,0.6555199557004316,0.8725856697819314,0.7695357462734977,0.7714605229752716,2.108913837399424e-05
12,0.7927668458221049,0.8096992357178204,0.6786156628573436,0.6540029808739636,0.8741433021806854,0.7676572061935093,0.7717640957147516,1.727457514062632e-05
13,0.7840339593970704,0.8079947215043712,0.6805248811484084,0.6499163597915032,0.8763239875389408,0.7753881295948871,0.7771288245574013,1.3650237506511335e-05
14,0.7801204907623428,0.8129982954857865,0.6889586349904542,0.6482593227584043,0.8769470404984424,0.7700291175721461,0.7765964653096088,1.0305368692688178e-05
15,0.7793136394888452,0.8156925276296255,0.6929905762362508,0.6496595188464702,0.8775700934579439,0.7788316429770901,0.7810528729923648,7.322330470336315e-06
16,0.773813483395453,0.8152526529938967,0.6916718539373055,0.6531892434830234,0.8753894080996885,0.7756530462816305,0.7771446700512789,4.774575140626317e-06
17,0.7669633998389477,0.8214108978941002,0.7055997233154032,0.6508318315970935,0.8753894080996885,0.7690346634424021,0.7756281552280981,2.7248368952908057e-06
18,0.7756148612065975,0.8179468851377357,0.6947201437449595,0.6482261834114883,0.8772585669781932,0.7718657914678568,0.7782736227024308,1.2235870926211619e-06
19,0.7645482381429602,0.8225105844834222,0.7055181203572658,0.6467873752488525,0.8763239875389408,0.7734034981156162,0.7766306224394975,3.0779148512155856e-07
20,0.765244199954743,0.8207510859405069,0.7007581569474778,0.6484212365477255,0.8766355140186916,0.7711045740716732,0.7767212233419303,0.0
