,precision,recall,f1-score,support
0,0.6428571428571429,0.7177914110429447,0.6782608695652174,163.0
1,0.8274760383386581,0.7896341463414634,0.8081123244929798,328.0
2,0.8558282208588958,0.7793296089385475,0.8157894736842105,358.0
3,0.9505195447798119,0.9731509625126646,0.9617021276595744,1974.0
4,0.7635869565217391,0.7260981912144703,0.7443708609271523,387.0
accuracy,0.890031152647975,0.890031152647975,0.890031152647975,0.890031152647975
macro avg,0.8080535806712495,0.7972008640100181,0.8016471312658269,3210.0
weighted avg,0.8892268197811652,0.890031152647975,0.8891406601029854,3210.0
